namespace,type,kind,bases,methods,fields,references,flags,file
,ClanLevelData,class,CSVBaseData,2,19,,,ClanLevelData.cs
,ClanTagData,class,CSVBaseData,2,3,,,ClanTagData.cs
,ClientHitFlyToCenterTrigger,class,MonoBehaviour,4,6,Player,,ClientHitFlyToCenterTrigger.cs
,ClientHitFlyTrigger,class,MonoBehaviour,5,6,,,ClientHitFlyTrigger.cs
,ClientSquareDancingTrigger,class,Entity,3,3,,,ClientSquareDancingTrigger.cs
,ColOccupyPoint,class,MonoBehaviour,3,3,,,ColOccupyPoint.cs
,CollectionTabData,class,CSVBaseData,2,3,,,CollectionTabData.cs
,ColliderInfo,class,,0,2,,,ColliderInfo.cs
,CommonGeneratorFunctionAttributeConfig,class,ItemFunctionAttributeBaseConfig,2,4,,,CommonGeneratorFunctionAttributeConfig.cs
,CommonRendererList,class,MonoBehaviour,0,1,,,CommonRendererList.cs
,ConfigConstName,class,,2,0,,,ConfigConstName.cs
,ControlPair,class,,0,2,,,ControlPair.cs
,CopyBonesToUMA,class,MonoBehaviour,10,4,,,CopyBonesToUMA.cs
,CustomCuverPathWayPointAttributeConfig,class,ItemFunctionAttributeBaseConfig,2,3,,,CustomCuverPathWayPointAttributeConfig.cs
,CustomPathAttributeConfig,class,ItemEditAttributeBaseConfig,0,0,,,CustomPathAttributeConfig.cs
,CustomPointFunctionAttributeConfig,class,ItemFunctionAttributeBaseConfig,3,4,,,CustomPointFunctionAttributeConfig.cs
,CustomTrail,class,MonoBehaviour,4,6,,,CustomTrail.cs
,CustomVideoPlayer,class,,24,12,,,CustomVideoPlayer.cs
,CustomVideoPlayerUpdate,class,MonoBehaviour,1,1,,,CustomVideoPlayerUpdate.cs
,CutSceneLightmapStorage,class,MonoBehaviour,4,10,,,CutSceneLightmapStorage.cs
,DMMMorphObjectSpawnPoint,class,MonoBehaviour,0,2,,,DMMMorphObjectSpawnPoint.cs
,DarkCircleData,class,,0,7,,,DarkCircleData.cs
,DarkCircleDatas,class,MonoBehaviour,0,1,,,DarkCircleDatas.cs
,DebugBountyWaitingTool,class,MonoBehaviour,0,1,,,DebugBountyWaitingTool.cs
,DebugChangeCloth,class,MonoBehaviour,0,0,,,DebugChangeCloth.cs
,Debug_ColliderTrigger,class,MonoBehaviour,40,37,,,Debug_ColliderTrigger.cs
,Debugger,class,,37,9,,,Debugger.cs
,DebuggerFileOutput,class,MonoBehaviour,13,11,,,DebuggerFileOutput.cs
,DelegateExtension,class,,1,0,,,DelegateExtension.cs
,DictionaryExtension,class,,0,0,,,DictionaryExtension.cs
,DisplayName,class,PropertyAttribute,0,1,,,DisplayName.cs
,DistortOverrideSettings,class,,1,5,,,DistortOverrideSettings.cs
,DragonTaskInfo,class,MonoBehaviour,0,8,,,DragonTaskInfo.cs
,DrawArrow,class,MonoBehaviour,3,4,,,DrawArrow.cs
,DrawBox,class,MonoBehaviour,1,1,,,DrawBox.cs
,DrawCircle,class,MonoBehaviour,0,10,,,DrawCircle.cs
,DrawRectangle,class,MonoBehaviour,0,5,,,DrawRectangle.cs
,DrawSphere,class,MonoBehaviour,1,1,,,DrawSphere.cs
,DrawText,class,MonoBehaviour,1,4,,,DrawText.cs
,DropArea,class,MetaObject,0,5,,,DropArea.cs
,DropConfig,class,MonoBehaviour,0,4,,,DropConfig.cs
,DropGroup,class,MonoBehaviour,0,5,,,DropGroup.cs
,DropObject,class,MonoBehaviour,8,27,,,DropObject.cs
,DynamicBone,class,MonoBehaviour,25,75,,,DynamicBone.cs
,DynamicBoneCollider,class,MonoBehaviour,12,11,,,DynamicBoneCollider.cs
,DynamicBoneNet,class,DynamicBone,18,20,,,DynamicBoneNet.cs
,DynamicBonePair,class,,0,2,,,DynamicBonePair.cs
,DynamicCombinerDebug,class,MonoSingleton<DynamicCombinerDebug>,0,0,,,DynamicCombinerDebug.cs
,DynamicOverlayLibrary,class,OverlayLibrary,11,5,,,DynamicOverlayLibrary.cs
,DynamicRaceLibrary,class,RaceLibrary,15,6,,,DynamicRaceLibrary.cs
,DynamicSlotLibrary,class,SlotLibrary,12,5,,,DynamicSlotLibrary.cs
,EABLevelObjectInfoType,enum,,0,0,,,EABLevelObjectInfoType.cs
,EAvatarModelIngameType,enum,,0,0,,,EAvatarModelIngameType.cs
,EControlMode,enum,,0,0,,,EControlMode.cs
,ELayoutType,enum,,0,0,,,ELayoutType.cs
,EMaskAnimType,enum,,0,0,,,EMaskAnimType.cs
,ESafeZoneType,enum,,0,0,,,ESafeZoneType.cs
,ESceneEditItemBoxItemBigType,enum,uint,0,0,,,ESceneEditItemBoxItemBigType.cs
,ESceneEditItemBoxItemSmallType,enum,uint,0,0,,,ESceneEditItemBoxItemSmallType.cs
,ESceneEditItemBoxWeaponType,enum,uint,0,0,,,ESceneEditItemBoxWeaponType.cs
,EditorSceneTools,class,MonoBehaviour,2,1,,,EditorSceneTools.cs
,EffectDelayShowManager,class,MonoBehaviour,4,3,,,EffectDelayShowManager.cs
,EffectHealingDance,class,MonoBehaviour,5,4,,,EffectHealingDance.cs
,EighthIngameConfigManager,class,SingletonModule<EighthIngameConfigManager>,4,0,,,EighthIngameConfigManager.cs
,EighthLandPointExporter,class,MonoBehaviour,0,1,,,EighthLandPointExporter.cs
,EighthSculpturePoint,class,MonoBehaviour,0,0,,,EighthSculpturePoint.cs
,EighthTrainStationExporter,class,MonoBehaviour,0,6,,,EighthTrainStationExporter.cs
,EmoteAvatarTouchHandler,class,MonoBehaviour,7,8,,,EmoteAvatarTouchHandler.cs
,EnergyDeviceVFXBuffIcon,class,MonoBehaviour,1,1,,,EnergyDeviceVFXBuffIcon.cs
,EnergyStoneBoxSpawnPoints,class,MonoBehaviour,0,2,,,EnergyStoneBoxSpawnPoints.cs
,Enum_MissionType,enum,,0,0,,,Enum_MissionType.cs
,EnvGlobalSetting,class,,1,23,,,EnvGlobalSetting.cs
,EnvSkybox,class,,1,9,,,EnvSkybox.cs
,EnvWeatherController,class,MonoBehaviour,60,57,Player,,EnvWeatherController.cs
,EnvWeatherEffect,class,,1,8,,,EnvWeatherEffect.cs
,EnvWeatherPreset,class,ScriptableObject,2,4,,,EnvWeatherPreset.cs
,EnvWeatherSound,class,,1,5,,,EnvWeatherSound.cs
,EnvWeatherZone,class,MonoBehaviour,14,10,,,EnvWeatherZone.cs
,ExchangeCurrencyDataManager,class,SingletonModule<ExchangeCurrencyDataManager>,5,0,,,ExchangeCurrencyDataManager.cs
,ExcludeFromHotZoneContainerRoot,class,MonoBehaviour,0,0,,,ExcludeFromHotZoneContainerRoot.cs
,FCoroutine,struct,IEquatable<FCoroutine>,1,2,,,FCoroutine.cs
,FCoroutineMgr,class,,4,3,,,FCoroutineMgr.cs
,FFFBXEngine,class,,9,1,,,FFFBXEngine.cs
,FFWSTrophyCup,class,MonoBehaviour,13,20,,,FFWSTrophyCup.cs
,FTimer,class,,2,2,,,FTimer.cs
,FadeEffect,class,MonoBehaviour,3,9,,,FadeEffect.cs
,FakeLinearColorSpace,class,MonoBehaviour,8,5,,,FakeLinearColorSpace.cs
,FiveYearsSkyboxController,class,MonoBehaviour,3,13,,,FiveYearsSkyboxController.cs
,FixBillboardAxis,class,MonoBehaviour,1,1,,,FixBillboardAxis.cs
,FlightResourceManager,class,,17,2,,,FlightResourceManager.cs
,FluxPair,class,,0,2,,,FluxPair.cs
,FollowPlayerComopent,class,MonoBehaviour,5,7,Player,,FollowPlayerComopent.cs
,FootballHitTrigger,class,MonoBehaviour,4,3,,,FootballHitTrigger.cs
,FragmentAttackableComponent,class,AttackableEntity,5,2,GLLLEDKLLDA,TakeDamage,FragmentAttackableComponent.cs
,FullScreenAdapter,class,MonoBehaviour,6,12,,,FullScreenAdapter.cs
,GAutomationManager,class,MonoBehaviour,0,0,,,GAutomationManager.cs
,GB_GPGulagSceneExporter,class,MonoBehaviour,0,3,,,GB_GPGulagSceneExporter.cs
,GameObjectExtension,class,,3,0,,,GameObjectExtension.cs
,GameZoneInfoList,class,MonoBehaviour,0,0,,,GameZoneInfoList.cs
,GeneralSpawnPoint,class,MonoBehaviour,11,8,,,GeneralSpawnPoint.cs
,GeoIpCountryData,class,CSVBaseData,2,8,,,GeoIpCountryData.cs
,GetOffSlideTrigger,class,Entity,2,1,,,GetOffSlideTrigger.cs
,GetOnSlideInMidTrigger,class,Entity,1,2,,,GetOnSlideInMidTrigger.cs
,GetOnSlideTrigger,class,Entity,1,2,,,GetOnSlideTrigger.cs
,GetOnSlideTriggerSpawner,class,SocialAreaSpawnObject,2,3,,,GetOnSlideTriggerSpawner.cs
,GhostShadowEffect,class,MonoBehaviour,2,4,,,GhostShadowEffect.cs
,GhostShadowEffectPlayer,class,MonoBehaviour,13,18,,,GhostShadowEffectPlayer.cs
,GhostShadowRoot,class,MonoBehaviour,3,4,,,GhostShadowRoot.cs
,GiantSpawnPoint,class,MonoBehaviour,0,0,,,GiantSpawnPoint.cs
,GlobalTriggerAction,enum,,0,0,,,GlobalTriggerAction.cs
,GoalAttributeConfig,class,ItemEditAttributeBaseConfig,6,5,,,GoalAttributeConfig.cs
,GridTableItem,class,BaseTableItem,4,10,,,GridTableItem.cs
,GyroVFXController,class,MonoBehaviour,11,42,,,GyroVFXController.cs
,HDTextureOverride,class,MonoBehaviour,3,4,,,HDTextureOverride.cs
,HGCutscenePhaseHideObject,class,MonoBehaviour,1,1,,,HGCutscenePhaseHideObject.cs
,HangCollider,class,MonoBehaviour,1,1,,,HangCollider.cs
,HangColliderCapsuleProperty,class,,1,7,,,HangColliderCapsuleProperty.cs
,HangColliderPlaneProperty,class,,1,5,,,HangColliderPlaneProperty.cs
,HangColliderSphereProperty,class,,1,6,,,HangColliderSphereProperty.cs
,HangColliderType,enum,,0,0,,,HangColliderType.cs
,HangCollider_Capsule,class,HangCollider,3,6,,,HangCollider_Capsule.cs
,HangCollider_Plane,class,HangCollider,3,2,,,HangCollider_Plane.cs
,HangCollider_Sphere,class,HangCollider,3,3,,,HangCollider_Sphere.cs
,HangManager,class,MonoBehaviour,21,17,Player,,HangManager.cs
,HangPivot,class,MonoBehaviour,0,1,,,HangPivot.cs
,HangResourcesManager,class,TSingleton<HangResourcesManager>,11,6,,,HangResourcesManager.cs
,HangString,class,MonoBehaviour,32,55,,,HangString.cs
,HangStringProperty,class,ScriptableObject,0,21,,,HangStringProperty.cs
,HangWindManager,class,,2,11,,,HangWindManager.cs
,HangWindManagerProperty,class,ScriptableObject,0,5,,,HangWindManagerProperty.cs
,HashSetExtension,class,,0,0,,,HashSetExtension.cs
,HeightFog,class,MonoBehaviour,3,7,,,HeightFog.cs
,IAudioInterface,interface,,0,0,,,IAudioInterface.cs
,IAudioInterfaceImplNone,class,IAudioInterface,0,0,,,IAudioInterfaceImplNone.cs
,IAvatarProvider,interface,,0,0,,,IAvatarProvider.cs
,ICustomVideoPlayer,interface,,0,0,,,ICustomVideoPlayer.cs
,IGameMissionTopEventUI,interface,,0,0,,,IGameMissionTopEventUI.cs
,IIV1v1SceneExporter,class,MonoBehaviour,0,4,,,IIV1v1SceneExporter.cs
,IIndexString,interface,,0,0,,,IIndexString.cs
,ILayoutTableItem,interface,,0,0,,,ILayoutTableItem.cs
,ILevelPureModelObjectExtraFuncInterface,interface,,0,0,,,ILevelPureModelObjectExtraFuncInterface.cs
,ILinkTwoPointEffect,interface,,0,0,,,ILinkTwoPointEffect.cs
,INetworkInterface,interface,,0,0,,,INetworkInterface.cs
,INetworkInterfaceImplNone,class,INetworkInterface,0,0,,,INetworkInterfaceImplNone.cs
,IPetsPawnAnimPlayer,interface,,0,0,,,IPetsPawnAnimPlayer.cs
,IPreviewLayer,interface,,0,0,,,IPreviewLayer.cs
,IStreamerFunc,interface,,0,0,,,IStreamerFunc.cs
,IUMAInterface,interface,,0,0,,,IUMAInterface.cs
,IUMAInterfaceImplNone,class,IUMAInterface,2,0,,,IUMAInterfaceImplNone.cs
,IVibrateInterface,interface,,0,0,,,IVibrateInterface.cs
,IVibrateInterfaceImplNone,class,IVibrateInterface,0,0,,,IVibrateInterfaceImplNone.cs
,I_BE_BlockButton,interface,,0,0,,,I_BE_BlockButton.cs
,IceWallCrossHairAvoidPlayerColliders,class,MonoBehaviour,0,1,,,IceWallCrossHairAvoidPlayerColliders.cs
,IceWallCrossHairTrigger,class,MonoBehaviour,11,11,,,IceWallCrossHairTrigger.cs
,IceWallExport,class,MonoBehaviour,0,0,,,IceWallExport.cs
,IconFunctionAttributeConfig,class,ItemFunctionAttributeBaseConfig,1,2,,,IconFunctionAttributeConfig.cs
,ImageTool,class,,8,8,,,ImageTool.cs
,InGameCutscene,class,MonoBehaviour,13,16,,,InGameCutscene.cs
,InGameCutsceneManager,class,MonoBehaviour,10,4,,,InGameCutsceneManager.cs
,IngameTimeLimitedObjSpawnConfig,class,MonoBehaviour,0,3,,,IngameTimeLimitedObjSpawnConfig.cs
,IntArrayComparer,class,IEqualityComparer<int[]>,2,0,,,IntArrayComparer.cs
,ItemBigIconData,class,"CSVBaseData, IGetId",4,5,,,ItemBigIconData.cs
,ItemBoxEditAttributeConfig,class,ItemEditAttributeBaseConfig,5,3,,,ItemBoxEditAttributeConfig.cs
,ItemEditAttributeBaseConfig,class,ScriptableObject,5,0,,,ItemEditAttributeBaseConfig.cs
,ItemEditAttributeCacheOneFloat,class,ItemEditAttributeCacheValueBase,0,1,,,ItemEditAttributeCacheOneFloat.cs
,ItemEditAttributeCacheOneInt,class,ItemEditAttributeCacheValueBase,0,1,,,ItemEditAttributeCacheOneInt.cs
,ItemEditAttributeCacheValueBase,class,,0,0,,,ItemEditAttributeCacheValueBase.cs
,ItemEditAttributeUIData,class,,3,1,,,ItemEditAttributeUIData.cs
,ItemEditAttributeUIDataHorizontalSelect,class,ItemEditAttributeUIData,4,4,,,ItemEditAttributeUIDataHorizontalSelect.cs
,ItemEditAttributeUIDataPopMenu,class,ItemEditAttributeUIData,4,7,,,ItemEditAttributeUIDataPopMenu.cs
,ItemEditAttributeUIDataSubAndPlus,class,ItemEditAttributeUIData,4,6,,,ItemEditAttributeUIDataSubAndPlus.cs
,ItemFunctionAttributeBaseConfig,class,ScriptableObject,3,0,,,ItemFunctionAttributeBaseConfig.cs
,ItemFunctionUIButtonData,class,,0,3,,,ItemFunctionUIButtonData.cs
,ItemFunctionUIData,class,,0,5,,,ItemFunctionUIData.cs
,ItemGeneratorFunctionAttributeConfig,class,ItemFunctionAttributeBaseConfig,6,6,,,ItemGeneratorFunctionAttributeConfig.cs
,ItemGeneratorSpawn,class,MonoBehaviour,0,1,,,ItemGeneratorSpawn.cs
,ItemGeneratorVfx,class,MonoBehaviour,2,3,,,ItemGeneratorVfx.cs
,JumpPadExport,class,MonoBehaviour,0,4,,,JumpPadExport.cs
,KeepFacingCameraInVertical,class,MonoBehaviour,0,0,,,KeepFacingCameraInVertical.cs
,KeyHelperWereWolvesCampHUD,class,MonoBehaviour,0,1,,,KeyHelperWereWolvesCampHUD.cs
,LStreamer,class,,24,38,,,LStreamer.cs
,LabelLink,class,MonoBehaviour,2,2,,,LabelLink.cs
,Lame,class,,30,1,,,Lame.cs
,LayoutTable,class,BaseTableItem,8,10,,,LayoutTable.cs
,LazyDictionary,class,,8,0,,,LazyDictionary.cs
,LevelContainerLocationPreserver,class,MonoBehaviour,5,2,,,LevelContainerLocationPreserver.cs
,LevelEnergyDeviceBatterySpawnPoint,class,MonoBehaviour,0,1,,,LevelEnergyDeviceBatterySpawnPoint.cs
,LevelEnergyDeviceCrystalSpawnPoint,class,MonoBehaviour,0,3,,,LevelEnergyDeviceCrystalSpawnPoint.cs
,LevelEnergyDeviceSpawnPoint,class,MonoBehaviour,0,3,,,LevelEnergyDeviceSpawnPoint.cs
,LevelFlowConfig,class,MonoBehaviour,0,9,,,LevelFlowConfig.cs
,LevelIceWallExport,class,MonoBehaviour,0,3,,,LevelIceWallExport.cs
,LevelNBOrangeFoxExportConfig,class,MonoBehaviour,0,3,,,LevelNBOrangeFoxExportConfig.cs
,LevelObjectExportGroup,class,MonoBehaviour,0,1,,,LevelObjectExportGroup.cs
,LevelPhotograph,class,MonoBehaviour,16,23,,,LevelPhotograph.cs
,LevelPickupSupply,class,MonoBehaviour,1,5,,,LevelPickupSupply.cs
,LevelRendererManager,class,MonoBehaviour,2,4,,,LevelRendererManager.cs
,LevelSAPGiftBoxExportConfig,class,MonoBehaviour,0,1,,,LevelSAPGiftBoxExportConfig.cs
,LevelSAPGiftboxIslandRandomAnimation,class,MonoBehaviour,1,1,,,LevelSAPGiftboxIslandRandomAnimation.cs
,LevelSAPHighTowerExportConfig,class,MonoBehaviour,0,0,,,LevelSAPHighTowerExportConfig.cs
,LevelSAPPortalExportConfig,class,MonoBehaviour,2,0,,,LevelSAPPortalExportConfig.cs
,LevelWeRunRetreatPoint,class,BaseLevelObject,10,4,,,LevelWeRunRetreatPoint.cs
,LightNode_Shadow,class,PlanarShadowNode,3,2,,,LightNode_Shadow.cs
,LightmapAreaInfo,class,,1,5,,,LightmapAreaInfo.cs
,LightmapAreaInfoNoRef,class,,1,5,,,LightmapAreaInfoNoRef.cs
,LightmapInfo,class,,0,2,,,LightmapInfo.cs
,LightmapStorage,class,MonoBehaviour,3,5,,,LightmapStorage.cs
,LightmapTextureInfo,class,MonoBehaviour,2,3,,,LightmapTextureInfo.cs
,LightmapTextureInfo2,class,MonoBehaviour,2,3,,,LightmapTextureInfo2.cs
,LightmapTextureInfoPatch,class,MonoBehaviour,2,5,,,LightmapTextureInfoPatch.cs
,LightningInfo,class,MonoBehaviour,2,2,,,LightningInfo.cs
,LineRendererAssist,class,MonoBehaviour,6,10,,,LineRendererAssist.cs
,LineRendererFollower,class,MonoBehaviour,1,4,,,LineRendererFollower.cs
,LobbyFog,class,MonoBehaviour,8,21,,,LobbyFog.cs
,LobbyFogSetting,class,MonoBehaviour,4,10,,,LobbyFogSetting.cs
,LobbyLWSceneExporter,class,MonoBehaviour,0,9,,,LobbyLWSceneExporter.cs
,LobbyWeatherEffectController,class,MonoBehaviour,4,6,,,LobbyWeatherEffectController.cs
,LogColor,enum,,0,0,,,LogColor.cs
,LogLevelType,enum,,0,0,,,LogLevelType.cs
,MallV2SecondTabData,class,"CSVBaseData, IGetId",3,5,,,MallV2SecondTabData.cs
,MallV2TabData,class,"CSVBaseData, IGetId",3,5,,,MallV2TabData.cs
,MapThrowerPointSpawn,class,MonoBehaviour,2,3,,,MapThrowerPointSpawn.cs
,MaterialEffect,class,,4,6,,,MaterialEffect.cs
,MaterialLOD,class,MonoBehaviour,2,7,,,MaterialLOD.cs
,MaterialLODManager,class,MonoSingleton<MaterialLODManager>,6,7,,,MaterialLODManager.cs
,MaterialRef,class,ScriptableObject,4,31,,,MaterialRef.cs
,MemoryUtil,class,,12,19,,,MemoryUtil.cs
,MetaObject,class,MonoBehaviour,0,2,,,MetaObject.cs
,MetaTrigger,class,MonoBehaviour,0,0,,,MetaTrigger.cs
,MeteorEffectController,class,MonoBehaviour,10,15,,,MeteorEffectController.cs
,MinWidgetTableItem,class,BaseTableItem,5,5,,,MinWidgetTableItem.cs
,MiniSentryEditAttributeConfig,class,ItemEditAttributeBaseConfig,6,26,,,MiniSentryEditAttributeConfig.cs
,MinimalEncoder,class,MonoBehaviour,12,11,,,MinimalEncoder.cs
,MobileReplayAgain,class,MonoBehaviour,4,8,,,MobileReplayAgain.cs
